Component,Ex_P [MW],Ex_F [MW],Ex_D [MW],ex_eff [%]
compressor 1,0.831,0.924,0.093,89.9
compressor 2,0.212,0.236,0.024,89.8
recuperator,0.636,0.702,0.066,90.6
sink 1,0.144,0.147,0.003,98.0
sink 2,0.317,0.329,0.012,96.4
turbine,0.436,0.489,0.053,89.2
cycle,-,-,0.251,63.62
