Connection,T [degC],p [bar],s [kJ/kgK],h [kJ/kg],m [kg/s],fluid
0,15.0,1.0,3.85,414.38,11.615,air
1,228.6,1.0,4.412,631.18,11.615,air
2,305.2,1.52,4.44,710.75,11.615,air
2i,280.5,1.52,4.395,684.92,11.615,air
3,242.0,1.68,4.291,644.99,11.615,air
3i,300.0,1.68,4.402,705.26,11.615,air
4,28.9,1.68,3.748,428.19,11.615,air
5,-8.6,1.0,3.764,390.67,11.615,air
t1,235.0,1.0,0.111,54.6,11.653,HITEC
t1i,273.5,1.0,0.225,114.67,11.653,HITEC
t2,290.0,1.0,0.272,140.42,11.653,HITEC
