Connection,T [degC],p [bar],s [kJ/kgK],h [kJ/kg],m [kg/s],fluid
0,15.0,1.0,3.85,414.38,16.594,air
1,228.6,1.0,4.412,631.18,16.594,air
2,300.0,1.48,4.438,705.26,16.594,air
3,242.0,1.48,4.328,645.0,16.594,air
4,28.8,1.48,3.785,428.2,16.594,air
5,0.2,1.0,3.797,399.46,16.594,air
t1,235.0,1.0,0.111,54.6,11.653,HITEC
t2,290.0,1.0,0.272,140.42,11.653,HITEC
